data,ticker,fechamento_ajustado,EV_EBIT,ROIC,EBIT_EV,valor_de_mercado,year,month
2023-10-20,PMAM3,4.27,-3.41379,12.069,-0.29292955922889224,1957513590.0,2023,10
2011-12-09,PMET5,0.0,1484.31141,-0.00192,0.0006737130721106564,18826598.0,2011,12
2013-08-23,PMET5,0.0,209.2673,-0.01337,0.004778577446165741,11585599.0,2013,8
2013-10-24,PMET5,0.0,209.95956,-0.01337,0.004762821945330805,12309699.0,2013,10
2013-11-01,PMET5,0.0,62.36402,-0.04702,0.016034886782474896,14481999.0,2013,11
2011-11-30,PMET6,0.0,1499.82784,-0.00192,0.0006667431910051757,20998898.0,2011,11
2011-12-28,PMET6,0.0,1484.31141,-0.00192,0.0006737130721106564,18826598.0,2011,12
2012-01-31,PMET6,0.0,1463.62285,-0.00192,0.000683236121928542,15930199.0,2012,1
2012-02-29,PMET6,0.0,1479.13927,-0.00192,0.0006760688599661073,18102498.0,2012,2
2012-03-30,PMET6,0.0,85.21118,-0.03358,0.011735549255391135,18102498.0,2012,3
2012-04-30,PMET6,0.0,113.98219,-0.0248,0.008773300460361394,15930199.0,2012,4
2012-05-31,PMET6,0.0,111.62356,-0.0248,0.008958682199349314,11585599.0,2012,5
2012-06-29,PMET6,0.0,111.62356,-0.0248,0.008958682199349314,11585599.0,2012,6
2012-07-30,PMET6,0.0,111.23046,-0.0248,0.008990343112848765,10861499.0,2012,7
2012-08-31,PMET6,0.0,100.42549,-0.02781,0.009957631274689325,11585599.0,2012,8
2012-09-27,PMET6,0.0,100.77378,-0.02781,0.009923216138166099,12309699.0,2012,9
2012-10-30,PMET6,0.0,100.42549,-0.02781,0.009957631274689325,11585599.0,2012,10
2012-11-29,PMET6,0.0,97.61431,-0.02876,0.010244399617228252,11585599.0,2012,11
2012-12-26,PMET6,0.0,97.61431,-0.02876,0.010244399617228252,11585599.0,2012,12
2013-01-31,PMET6,0.0,97.28001,-0.02876,0.01027960420645516,10861499.0,2013,1
2013-02-28,PMET6,0.0,96.6114,-0.02876,0.01035074535717317,9413299.0,2013,2
2013-03-26,PMET6,0.0,146.95468,-0.01873,0.006804819009506876,7965099.0,2013,3
2013-04-30,PMET6,0.0,144.93205,-0.01873,0.006899785106192867,5068700.0,2013,4
2013-05-27,PMET6,0.0,116.07039,-0.02381,0.00861546170388503,7965099.0,2013,5
2013-06-27,PMET6,0.0,115.67557,-0.02381,0.008644867710615128,7240999.0,2013,6
2013-07-30,PMET6,0.0,114.88593,-0.02381,0.00870428606879885,5792800.0,2013,7
2013-08-30,PMET6,0.0,209.2673,-0.01337,0.004778577446165741,11585599.0,2013,8
2013-09-30,PMET6,0.0,212.72858,-0.01337,0.004700825812873851,15206099.0,2013,9
2013-10-31,PMET6,0.0,209.95956,-0.01337,0.004762821945330805,12309699.0,2013,10
2013-11-29,PMET6,0.0,62.36402,-0.04702,0.016034886782474896,14481999.0,2013,11
2011-11-30,PNVL3,3.62,7.81148,0.217,0.12801671386216185,488343687.0,2011,11
2011-12-29,PNVL3,3.41,7.94133,0.217,0.1259234914050921,496281165.0,2011,12
2012-01-31,PNVL3,4.04,9.5477,0.217,0.10473726656681713,594482150.0,2012,1
2012-02-28,PNVL3,4.84,11.0621,0.217,0.0903987488813155,687060415.0,2012,2
2012-03-30,PNVL3,4.42,10.81029,0.19504,0.09250445640218717,633430193.0,2012,3
2012-04-30,PNVL3,4.35,10.66246,0.19504,0.093786987243094,624967672.0,2012,4
2012-05-31,PNVL3,4.29,9.9536,0.19185,0.10046616299630284,587427253.0,2012,5
2012-06-29,PNVL3,4.66,11.28904,0.19185,0.0885814914288549,666454665.0,2012,6
2012-07-27,PNVL3,4.86,11.78625,0.19185,0.08484462827447237,695878156.0,2012,7
2012-08-31,PNVL3,4.83,11.11675,0.18866,0.08995434816830458,687596895.0,2012,8
2012-09-28,PNVL3,5.61,12.88248,0.18866,0.07762480516173904,798542769.0,2012,9
2012-10-31,PNVL3,5.71,13.06129,0.18866,0.07656211599313698,809778086.0,2012,10
2012-11-30,PNVL3,7.64,15.67489,0.19265,0.06379630096287757,1040372545.0,2012,11
2012-12-28,PNVL3,8.77,18.51601,0.19265,0.05400731583100246,1228517338.0,2012,12
2013-01-31,PNVL3,8.93,18.88598,0.19265,0.052949330667511035,1253017636.0,2013,1
2013-02-28,PNVL3,9.03,18.7632,0.19265,0.05329581308092436,1244886734.0,2013,2
2013-03-28,PNVL3,9.61,19.94761,0.19234,0.05013131899009455,1367393920.0,2013,3
2013-04-30,PNVL3,8.94,18.11701,0.19234,0.055196746041427366,1241463600.0,2013,4
2013-05-29,PNVL3,8.0,17.11533,0.17597,0.05842715273383569,1136279415.0,2013,5
2013-06-28,PNVL3,6.74,14.61819,0.17597,0.06840792191098898,966932835.0,2013,6
2013-07-31,PNVL3,7.37,15.76927,0.17597,0.06341447638349777,1044994682.0,2013,7
2013-08-30,PNVL3,8.17,16.42672,0.17776,0.060876425725890505,1151332728.0,2013,8
2013-09-30,PNVL3,7.96,15.57713,0.17776,0.06419667807869614,1089505757.0,2013,9
2013-10-31,PNVL3,6.88,13.81636,0.17776,0.07237796351571615,961368650.0,2013,10
2013-11-29,PNVL3,6.82,12.77811,0.18041,0.07825883483551167,980142700.0,2013,11
2013-12-30,PNVL3,7.0,13.02377,0.18041,0.07678268274086535,999838914.0,2013,12
2014-01-31,PNVL3,6.15,11.99627,0.18041,0.0833592441650613,917457874.0,2014,1
